"ABILITA_FEEDBACK__C","ALBERO__C","CONSIDERARE__C","CREATEDBYID","CREATEDDATE","DATA_ORA_FINE_ANALISI__C","DATA_ORA_FINE__C","DATA_ORA_INIZIO_ANALISI__C","DATA_ORA_INIZIO__C","DATA_ORA_NOTIFICA__C","DATA_ORA_ULTIMA_NOTIFICA__C","DESCRIZIONE_EN__C","DESCRIZIONE_IT__C","DOMANDA_EN__C","DOMANDA_IT__C","DOMANDA_NON_VISIBILE__C","DOMANDA_PADRE__C","ETICHETTA_EN__C","ETICHETTA_IT__C","ETICHETTA_RAGGRUPPAMENTO_GENITORE__C","ETICHETTA_RAGGRUPPAMENTO__C","FREQUENZA__C","GRUPPO_RAGGRUPPAMENTO__C","ID","INDICE__C","INSIEME_OPZIONI_DOMANDA__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NOTIFICA_RISULTATO__C","OBBLIGATORIA_PER_RISULTATI__C","OBBLIGATORIA__C","ORDINE_RISULTATI_DEALER_RAGGRUPPAMENTO__C","ORDINE__C","OWNERID","PAGINA__C","PARTECIPAZIONE_EVENTO__C","PARTECIPAZIONE_WORKSHOP__C","PRIORITA__C","QUESTIONARIO__C","RAGG_VISUALIZZABILE_DA_DEALER_IN__C","RAGG_VISUALIZZABILE_DA_MANAGER_IN__C","RAGGRUPPAMENTO__C","RANGE_VALUTAZIONE__C","RISULTATO_NON_VISIBILE__C","SEZIONE__C","SUGGERIMENTO__C","SYSTEMMODSTAMP","TESTO_EN__C","TESTO_IT__C","TIPOLOGIA__C","URL_COVER__C","VISIBILE__C","WORKSHOP__C"
"true","","false","0050E000009RpenQAC","2022-03-31T09:42:43.000Z","","","","","","","Description PartWork-00165","Descrizione PartWork-00165","Question PartWork-00165","Domanda PartWork-00165","false","a0X0E000005a1ZeUAI","Label PartWork-00165","Etichetta PartWork-00165","","","","","a0X0E000005aBU9UAM","","","false","0050E000009RpenQAC","2022-03-31T09:42:43.000Z","2022-04-07T14:46:20.000Z","2022-04-07T14:46:20.000Z","Domanda PartWork-00165","","","true","0.0","2.0","0050E000009RpenQAC","2.0","","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T09:42:43.000Z","Text PartWork-00165","Testo PartWork-00165","Valutazione multipla","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-18T07:00:00.000Z","2020-04-18T07:00:00.000Z","","","","","Come valuti il rapporto con l'area manager post-vendita del marchio?","false","","","ZM A/S: rapporto","","ZM Post-Vendita","Mens.","Toyota","a0X0E000003dIMeUAM","","a4m0E000000DaLuQAK","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000048","","","false","19.0","19.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","Dealer Insight","Business Insight","a4r0E000000DGmZQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-15T07:00:00.000Z","2020-04-15T07:00:00.000Z","","","","","Le campagne finanziarie del marchio di questo periodo sono efficaci?","false","","","Campagne TFS: efficacia","","Campagne TFS","Mens.","Toyota","a0X0E000003dIMbUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000045","2019-12-31T21:00:00.000Z","","false","16.0","16.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","","Business Insight","a4r0E000000DGmWQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-15T07:00:00.000Z","2020-04-15T07:00:00.000Z","","","","","L'offerta assicurativa del marchio di questo periodo è efficace?","false","","","Campagne TIM: efficacia","","Campagne TIM","Mens.","Toyota","a0X0E000003dIMcUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000046","2019-12-31T21:00:00.000Z","","false","17.0","17.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","","Business Insight","a4r0E000000DGmXQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-18T07:00:00.000Z","2020-04-18T07:00:00.000Z","","","","","Come valuti il rapporto con l'area manager vendite del marchio?","false","","","ZM Sales: rapporto","","ZM Vendite","Mens.","Toyota","a0X0E000003dIMdUAM","","a4m0E000000DaLuQAK","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000047","","","false","18.0","18.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","Dealer Insight","Business Insight","a4r0E000000DGmYQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-16T07:00:00.000Z","2020-04-20T07:00:00.000Z","2020-04-20T07:00:00.000Z","","","","","Quanto ti senti appagato dal tuo lavoro di questo periodo?","false","","","Gratificazione lavorativa","Motivazione Dealer","Gratificazione lavorativa","15 gg","Toyota","a0X0E000003dIMfUAM","","a4m0E000000DaDFQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000049","2019-12-31T21:00:00.000Z","","true","2.0","1.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Dashboard","a4r0E000000DGmIQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-16T07:00:00.000Z","2020-04-20T07:00:00.000Z","2020-04-20T07:00:00.000Z","","","","","Il tuo team è pronto ad affrontare le sfide di questo periodo?","false","","","Team pronto alle sfide","Motivazione Dealer","Allineamento Team","15 gg","Toyota","a0X0E000003dIMgUAM","","a4m0E000000DaDGQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000050","2019-12-31T21:00:00.000Z","","true","1.0","2.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Dashboard","a4r0E000000DGmHQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-16T07:00:00.000Z","2020-04-20T07:00:00.000Z","2020-04-20T07:00:00.000Z","","","","","Quanto ti senti allineato verso le strategie del marchio?","false","","","Allineamento vs TMI","Motivazione Dealer","Ingaggio vs TMI","15 gg","Toyota","a0X0E000003dIMhUAM","","a4m0E000000DaDFQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000051","2019-12-31T21:00:00.000Z","","true","3.0","3.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Dashboard","a4r0E000000DGmJQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-16T07:00:00.000Z","2020-04-20T07:00:00.000Z","2020-04-20T07:00:00.000Z","","","","","Come valuti la qualità della relazione con il personale del marchio (management e zone manager)?","false","","","Relazione con personale TMI","Business con TMI","Relazione con TMI","15 gg","Toyota","a0X0E000003dIMiUAM","","a4m0E000000DaDIQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000052","2019-12-31T21:00:00.000Z","","true","4.0","4.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","","Business Dashboard","a4r0E000000DGmKQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-16T07:00:00.000Z","2020-04-20T07:00:00.000Z","2020-04-20T07:00:00.000Z","","","","","Come valuti le politiche del marchio di questo mese?","false","","","Politiche mese TMI","Business con TMI","Competitività campagne","15 gg","Toyota","a0X0E000003dIMjUAM","","a4m0E000000DaDJQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000053","2019-12-31T21:00:00.000Z","","true","5.0","5.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","More Results","Business Dashboard","a4r0E000000DGmLQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-16T07:00:00.000Z","2020-04-20T07:00:00.000Z","2020-04-20T07:00:00.000Z","","","","","Quanto sei soddisfatto del business sviluppato con il marchio in questo periodo?","false","","","Soddisfazione nel business con TMI","Business con TMI","Risultati","15 gg","Toyota","a0X0E000003dIMkUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000054","2019-12-31T21:00:00.000Z","","true","6.0","6.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","","Business Dashboard","a4r0E000000DGmMQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-03-30T22:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-22T07:00:00.000Z","2020-04-22T07:00:00.000Z","","","","","Il servizio ricambi del marchio è efficiente?","false","","","Servizio ricambi: efficienza","","Ricambi","Trim.","TMI","a0X0E000003dIMlUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000055","","","false","20.0","20.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","","Business Insight","a4r0E000000DGn6QAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-03-30T22:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-22T07:00:00.000Z","2020-04-22T07:00:00.000Z","","","","","La formazione messa a disposizione dal marchio è utile per migliorare il tuo business?","false","","","Formazione: utilità","","Formazione","Trim.","Toyota","a0X0E000003dIMmUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000056","","","false","21.0","21.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","Dealer Insight","Business Insight","a4r0E000000DGmbQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-04-28T21:00:00.000Z","2020-04-28T21:00:00.000Z","2020-04-01T07:00:00.000Z","2020-04-22T07:00:00.000Z","2020-04-22T07:00:00.000Z","","","","","I Lead trasferiti dal marchio sono efficaci per generare nuovo business?","false","","","Lead TMI: qualità","","Gestione Lead","Mens.","Toyota","a0X0E000003dIMnUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000057","","","false","23.0","23.0","0050E000005VHptQAG","","","","3.0","a0W0E000004978VUAQ","More Results","More Results","a4r0E000000DGmdQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-15T21:00:00.000Z","2020-02-15T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-05T07:00:00.000Z","2020-02-05T07:00:00.000Z","","","","","Quanto ti senti appagato dal tuo lavoro di questo periodo?","false","","","Gratificazione lavorativa","Motivazione Dealer","Gratificazione lavorativa","15 gg","Lexus","a0X0E000003dIMoUAM","","a4m0E000000DaDFQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000058","2019-10-15T21:00:00.000Z","","true","2.0","1.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Dashboard","a4r0E000000DGmhQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-15T21:00:00.000Z","2020-02-15T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-05T07:00:00.000Z","2020-02-05T07:00:00.000Z","","","","","Il tuo team è pronto ad affrontare le sfide di questo periodo?","false","","","Team pronto alle sfide","Motivazione Dealer","Allineamento Team","15 gg","Toyota","a0X0E000003dIMpUAM","","a4m0E000000DaDGQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000059","2019-10-15T21:00:00.000Z","","true","1.0","2.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Dashboard","a4r0E000000DGmgQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-15T21:00:00.000Z","2020-02-15T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-05T07:00:00.000Z","2020-02-05T07:00:00.000Z","","","","","Quanto sei soddisfatto del business sviluppato con il marchio in questo periodo?","false","","","Soddisfazione nel business con TMI","Business con TMI","Risultati","15 gg","Lexus","a0X0E000003dIMtUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000063","2019-10-15T21:00:00.000Z","","true","6.0","6.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","","Business Dashboard","a4r0E000000DGmlQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-15T21:00:00.000Z","2020-02-15T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-05T07:00:00.000Z","2020-02-05T07:00:00.000Z","","","","","Quanto ti senti allineato verso le strategie del marchio?","false","","","Allineamento vs TMI","Motivazione Dealer","Ingaggio vs TMI","15 gg","Lexus","a0X0E000003dIMqUAM","","a4m0E000000DaDFQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000060","2019-10-15T21:00:00.000Z","","true","3.0","3.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Dashboard","a4r0E000000DGmiQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-15T21:00:00.000Z","2020-02-15T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-05T07:00:00.000Z","2020-02-05T07:00:00.000Z","","","","","Come valuti la qualità della relazione con il personale del marchio (management e zone manager)?","false","","","Relazione con personale TMI","Business con TMI","Relazione con TMI","15 gg","Lexus","a0X0E000003dIMrUAM","","a4m0E000000DaDIQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000061","2019-10-15T21:00:00.000Z","","true","4.0","4.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","","Business Dashboard","a4r0E000000DGmjQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-15T21:00:00.000Z","2020-02-15T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-05T07:00:00.000Z","2020-02-05T07:00:00.000Z","","","","","Come valuti le politiche del marchio di questo mese?","false","","","Politiche mese TMI","Business con TMI","Competitività campagne","15 gg","Lexus","a0X0E000003dIMsUAM","","a4m0E000000DaDJQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000062","2019-10-15T21:00:00.000Z","","true","5.0","5.0","0050E000005VHptQAG","","","","1.0","a0W0E000004978VUAQ","More Results","Business Dashboard","a4r0E000000DGmkQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-28T21:00:00.000Z","2020-02-28T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-07T07:00:00.000Z","2020-02-07T07:00:00.000Z","","","","","Sei soddisfatto dell'organizzazione della tua azienda in questo periodo, in termini di persone e processi?","false","","","Organizzazione aziendale","","Organizzazione Dealer","Mens.","Lexus","a0X0E000003dIMuUAM","","a4m0E000000DaDFQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000065","","","false","8.0","8.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Insight","a4r0E000000DGmnQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
"true","","false","0050E000005VHptQAG","2019-09-09T09:43:22.000Z","2020-02-28T21:00:00.000Z","2020-02-28T21:00:00.000Z","2020-02-01T07:00:00.000Z","2020-02-25T07:00:00.000Z","2020-02-25T07:00:00.000Z","","","","","Il tuo team è pronto per interpretare al meglio la strategia del marchio di questo periodo a livello locale?","false","","","Strategia locale","","Allineamento strategico vs TMI","Mens.","Lexus","a0X0E000003dIMvUAM","","a4m0E000000DaDKQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000067","","","false","10.0","10.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","Dealer Insight","Motivation Insight","a4r0E000000DGmpQAG","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio","","false",""
